bpi_rank,Team_Name,Conference,W-L,bpi_off,bpi_def,bpi_rating,seven_day_rank_change
1,Villanova,Big East,31-3,12.1,8.4,20.5,--
2,Gonzaga,WCC,32-1,10.8,8.8,19.6,--
3,North Carolina,ACC,27-7,11.6,7.9,19.4,--
4,Virginia,ACC,22-10,6.4,11.9,18.3,--
5,Louisville,ACC,24-8,7.8,10.4,18.2,1
6,Duke,ACC,27-8,11.8,6.1,18.0,2
7,West Virginia,Big 12,26-8,8.2,9.7,17.9,2
8,Florida,SEC,24-8,8.1,9.5,17.6,1
9,Kentucky,SEC,29-5,9.5,7.6,17.1,1
10,Kansas,Big 12,28-4,10.8,6.0,16.8,1
11,Purdue,Big Ten,25-7,8.9,7.8,16.7,--
12,Saint Mary's,WCC,28-4,10.7,5.8,16.5,--
13,Oregon,Pac-12,29-5,9.1,7.1,16.2,1
14,UCLA,Pac-12,29-4,12.9,2.9,15.9,1
15,Wichita State,MVC,30-4,7.5,8.3,15.8,1
16,SMU,American,30-4,10.2,5.4,15.6,2
17,Baylor,Big 12,25-7,7.8,7.6,15.4,2
18,Michigan,Big Ten,24-11,11.2,4.1,15.3,3
19,Cincinnati,American,29-5,6.6,8.6,15.2,2
20,Florida State,ACC,25-8,8.1,6.7,14.8,1
21,Wisconsin,Big Ten,25-9,6.1,8.6,14.7,1
22,Notre Dame,ACC,25-9,10.2,4.1,14.3,--
23,Iowa State,Big 12,23-10,9.1,5.1,14.2,2
24,Arizona,Pac-12,30-4,8.0,5.9,14.0,1
25,Butler,Big East,23-8,8.6,4.7,13.3,1
26,Oklahoma State,Big 12,20-12,10.6,1.5,12.2,1
27,Creighton,Big East,25-9,7.9,4.1,12.0,1
28,Miami,ACC,21-11,4.8,6.6,11.4,--
29,Marquette,Big East,19-12,9.9,1.4,11.2,--
30,Syracuse,ACC,18-14,7.7,3.3,11.0,1
31,Rhode Island,A 10,24-9,4.4,6.5,10.9,8
32,Wake Forest,ACC,19-14,10.2,0.7,10.9,2
33,Indiana,Big Ten,18-16,7.5,3.0,10.5,1
34,Xavier,Big East,21-13,6.3,4.0,10.3,2
35,Kansas State,Big 12,21-13,4.9,5.4,10.2,6
36,Dayton,A 10,24-7,4.8,5.5,10.2,2
37,Clemson,ACC,17-16,6.7,3.5,10.1,4
38,VCU,A 10,26-8,3.5,6.5,10.1,--
39,Vanderbilt,SEC,19-15,5.5,4.6,10.0,10
40,Minnesota,Big Ten,24-9,2.4,7.6,10.0,--
41,Texas Tech,Big 12,18-14,6.0,3.7,9.7,4
42,Houston,American,21-10,6.7,2.9,9.6,7
43,South Carolina,SEC,22-10,0.4,9.1,9.5,1
44,Michigan State,Big Ten,19-14,4.2,5.2,9.4,4
45,Middle Tennessee,C-USA,30-4,4.7,4.6,9.3,6
