rpi
1	Villanova (31-3)	0.665	1	326	1
2	Arizona (30-4)	0.655	2	211	2
3	Kansas (28-4)	0.653	1	60	3
4	Kentucky (29-5)	0.652	3	41	4
5	N Carolina (26-7)	0.646	2	59	5
6	Duke (27-8)	0.646	6	153	6
7	Louisville (24-8)	0.645	3	209	7
8	Gonzaga (32-1)	0.644	1	75	8
9	Oregon (28-5)	0.643	4	214	9
10	Florida (24-8)	0.639	2	265	10
11	Baylor (24-7)	0.638	1	210	11
12	S Methodist (30-4)	0.631	12	119	12
13	Cincinnati (29-5)	0.631	1	105	13
14	Florida St (25-8)	0.631	4	267	14
15	Butler (23-8)	0.625	3	218	15
16	UCLA (29-4)	0.624	14	237	16
17	St Marys (28-4)	0.621	3	124	17
18	Virginia (22-10)	0.617	3	60	18
19	Purdue (25-7)	0.612	15	329	19
20	Minnesota (24-9)	0.611	5	210	20
21	Iowa State (23-10)	0.610	13	146	21
22	VCU (26-8)	0.610	12	227	22
23	Notre Dame (25-9)	0.609	17	212	23
24	W Virginia (26-8)	0.605	10	327	24
25	Michigan (24-11)	0.604	22	91	25
26	Creighton (24-9)	0.603	1	219	26
27	NC-Wilmgton (27-5)	0.602	4	275	27
28	Arkansas (25-9)	0.602	12	109	28
29	Nevada (28-6)	0.601	20	259	29
30	Dayton (23-7)	0.601	4	155	30
31	Rhode Island (24-9)	0.599	31	115	31
32	Wichita St (29-4)	0.598	27	158	32
33	Illinois St (26-6)	0.597	26	260	33
34	Maryland (23-8)	0.596	14	113	34
35	Middle Tenn (29-4)	0.595	3	241	35
36	Wisconsin (25-9)	0.593	17	230	36
37	Xavier (21-13)	0.593	1	101	37
38	Vanderbilt (19-15)	0.591	33	249	38
39	Oklahoma St (19-12)	0.588	27	248	39
40	USC (24-9)	0.588	12	213	40
41	Wake Forest (19-13)	0.588	12	274	41
42	Miami (FL) (21-11)	0.587	6	341	42
43	S Carolina (21-10)	0.587	9	97	43
44	Seton Hall (21-11)	0.586	12	147	44
45	TX-Arlington (23-8)	0.586	16	165	45
46	Vermont (28-5)	0.584	45	325	46
47	Princeton (22-6)	0.583	47	311	47
48	VA Tech (22-10)	0.582	3	163	48
49	Monmouth (27-6)	0.579	39	148	49
50	Michigan St (19-14)	0.579	7	223	50
51	Northwestern (23-11)	0.578	16	342	51
52	Georgia (18-14)	0.575	25	133	52
53	California (21-12)	0.571	20	191	53
54	E Tenn St (25-7)	0.571	20	185	54
55	Providence (20-12)	0.570	23	308	55
56	Kansas St (20-13)	0.570	37	216	56
57	Col Charlestn (24-9)	0.569	29	197	57
58	Houston (21-10)	0.569	22	316	58
59	Akron (25-8)	0.568	35	297	59
60	N Mex State (25-5)	0.568	46	299	60
61	Belmont (21-6)	0.566	54	282	61
62	Marquette (19-12)	0.565	35	234	62
63	Bucknell (26-8)	0.564	61	306	63
64	Illinois (17-14)	0.562	25	224	64
65	BYU (22-11)	0.560	63	342	65
66	Colorado St (21-11)	0.560	21	336	66
67	TX Christian (18-15)	0.557	4	203	67
68	Winthrop (24-6)	0.557	12	287	68
69	Clemson (17-15)	0.555	2	125	69
70	Central FL (21-11)	0.555	2	235	70
71	NC-Asheville (21-9)	0.554	35	277	73
72	Valparaiso (23-8)	0.554	31	342	71
73	Boise State (18-11)	0.553	55	276	72
74	Pittsburgh (16-17)	0.553	14	104	74
75	CS Bakersfld (19-9)	0.552	70	263	75
76	Fresno St (18-12)	0.552	28	290	76
77	Mississippi (20-13)	0.552	1	82	77
78	Alabama (19-14)	0.550	53	204	78
79	Indiana (18-15)	0.549	4	139	79
80	Richmond (20-12)	0.548	78	309	80
81	Iowa (18-14)	0.547	26	310	81
82	Utah (18-11)	0.545	16	339	82
83	Tennessee (15-16)	0.544	36	304	83
84	Syracuse (18-14)	0.543	16	223	84
85	Fla Gulf Cst (23-7)	0.543	50	295	85
86	New Mexico (17-14)	0.543	65	280	86
87	N Kentucky (22-10)	0.543	87	310	87
88	Ohio State (17-15)	0.541	13	166	88
89	Iona (22-12)	0.541	42	298	89
90	Towson (19-13)	0.540	68	324	90
91	St Bonavent (20-12)	0.540	53	294	91
92	Davidson (17-15)	0.539	23	152	92
93	San Fransco (19-12)	0.538	22	255	94
94	Texas A&M (16-15)	0.538	23	258	93
95	NC-Grnsboro (22-9)	0.538	10	231	95
96	Furman (19-11)	0.536	74	263	96
97	Lehigh (19-12)	0.536	27	214	97
98	Colorado (18-14)	0.535	45	344	98
99	Stanford (13-17)	0.534	35	332	99
100	San Diego St (18-14)	0.534	8	155	100
101	Geo Wshgtn (19-14)	0.532	19	320	101
102	Geo Mason (19-13)	0.531	102	292	102
103	Georgia St (18-12)	0.531	23	341	103
104	Penn State (15-18)	0.531	65	201	104
105	TX Southern (23-11)	0.531	45	239	105
106	Connecticut (15-17)	0.530	35	294	106
107	GA Tech (16-15)	0.530	34	315	107
108	Nebraska (11-19)	0.529	43	240	108
109	Wm & Mary (15-14)	0.529	37	264	110
110	Oakland (22-8)	0.529	63	254	109
111	N Dakota St (17-11)	0.529	22	228	111
112	Marshall (19-15)	0.529	11	204	112
113	Georgetown (14-18)	0.528	53	253	113
114	Auburn (18-14)	0.528	18	343	114
115	LA Lafayette (19-12)	0.527	71	270	115
116	Wright State (18-12)	0.526	61	202	116
117	LA Tech (21-10)	0.526	92	265	117
118	Siena (17-17)	0.526	37	292	118
119	Ohio (19-11)	0.525	8	180	119
120	Arkansas St (19-12)	0.525	15	296	120
121	Memphis (19-13)	0.524	75	321	121
122	South Dakota (20-11)	0.524	38	229	122
123	St Johns (14-19)	0.522	4	277	123
124	Texas Tech (18-14)	0.521	40	270	124
125	GA Southern (16-14)	0.521	79	309	125
126	Arizona St (15-18)	0.521	79	255	126
127	Santa Clara (16-16)	0.521	4	322	127
128	N Hampshire (17-12)	0.521	96	337	128
129	Yale (17-11)	0.520	9	143	129
130	UC Irvine (19-14)	0.520	77	282	130
