Team_Name,Seed,Region,Rating
Villanova,1,East,95.2
Gonzaga,1,West,93.7
Kansas,1,Midwest,92.2
Kentucky,2,South,92.3
UNC,1,South,91.7
Duke,2,East,92.3
Louisville,2,Midwest,90.8
Arizona,2,West,89.0
W. Virginia,4,West,90.8
UCLA,3,South,88.0
Virginia,5,East,90.0
St. Mary's,7,West,87.4
Purdue,4,Midwest,88.6
Wichita St.,10,South,88.9
SMU,6,East,88.4
Iowa State,5,Midwest,87.9
Baylor,3,East,87.7
Oregon,3,Midwest,87.3
Butler,4,South,86.5
Florida,4,East,87.8
Florida State,3,West,87.2
Cincinnati,6,South,87.4
Wisconsin,8,East,87.8
Michigan,7,Midwest,86.9
Notre Dame,5,West,86.7
Creighton,6,Midwest,84.4
Okla. State,10,Midwest,84.7
Miami (FL),8,Midwest,84.6
Arkansas,8,South,83.2
Vanderbilt,9,West,83.8
Rhode Island,11,Midwest,84.0
Kansas State,11,South,83.1
S. Carolina,7,East,83.1
Seton Hall,9,South,83.0
Dayton,7,South,82.8
Marquette,10,East,83.0
Michigan St.,9,Midwest,82.8
Wake Forest,11,South,83.0
Xavier,11,West,82.3
VCU,10,West,82.9
Mid. Tenn.,12,South,81.3
Maryland,6,West,82.5
N'western,8,West,82.6
Minnesota,5,South,81.2
Providence,11,East,81.8
USC,11,East,81.2
Nevada,12,Midwest,80.7
Princeton,12,West,80.0
UNC-Wilm.,12,East,80.2
Virginia Tech,9,East,80.0
Vermont,13,Midwest,79.5
Bucknell,13,West,77.9
E. Tenn. St.,13,East,78.1
Winthrop,13,South,75.5
FGCU,14,West,75.8
NM State,14,East,75.6
Iona,14,Midwest,75.5
Kent St.,14,South,74.3
Troy,15,East,73.3
N. Kentucky,15,South,72.8
S. Dakota St.,16,West,72.8
N. Dakota,15,West,72.3
TXSO,16,South,71.0
Jax. State,15,Midwest,71.2
NC Central,16,Midwest,71.0
UC-Davis,16,Midwest,69.9
M. St. Mary's,16,East,69.8
New Orleans,16,East,69.2
